event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ISR16333,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Israel (2022-)",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,"Kefar Azza",31.4841,34.5331,1,"Israeli Defense Forces; Kan News",Other-National,"On 8 October 2023, armed clashes took place between Hamas militants and Israeli military forces in Kefar Azza (Ashqelon, HaDarom) as the two sides exchanged fire after Hamas militants infiltrated the town from Gaza. Seven Hamas militants were killed. The number of Israeli fatalities is unspecified.",7,,1762291738
ISR37998,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Police Forces of Israel (2022-)",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,"Beer Sheva",Besor,Ofaqim,31.3141,34.6203,1,"Times of Israel",National,"On 8 October 2023, at 3 a.m., police forces broke into the house of an elderly Israeli couple who were kept as hostage by a group of five Hamas militants in Ofaqim (Beer Sheva, HaDarom). The police killed all 5 militants and rescued the couple.",5,,1763426427
ISR16308,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Israel (2022-) Special Forces",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,Ashqelon,31.6693,34.5715,2,Liveuamap,"Local partner-New media","On 8 October 2023, Israeli special forces clashed with Hamas militants in a location between Ashdod and Ashqelon (Ashqelon, HaDarom). Casualties unknown.",0,,1715049478
ISR16328,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Hamas Movement",,3,"Civilians (Israel)",,7,37,"Civilian targeting",376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,Ashqelon,31.6693,34.5715,1,"Kan News",National,"On 8 October 2023, Hamas militants fired barrages of rockets from Gaza at Ashqelon (HaDarom), with several reported direct hits within the city. Directly hitting an Israeli woman, injuring her severely. 5 others were lightly injured. The woman was hospitalized. At least four buildings were hit and damaged, including a hospital.",0,,1715049478
ISR16334,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Israel (2022-)",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,Ashqelon,Ashdod,Ashdod,31.7921,34.6497,2,"Kan News",National,"On 8 October 2023, Israeli military forces killed three Hamas militants on Highway 4 near Ashdod (Ashqelon, HaDarom) after a car chase and exchange of fire.",3,,1715049478
ISR37305,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Israel (2022-)",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,"Beer Sheva",Besor,Holit,31.2300,34.3260,1,N12,National,"On 8 October 2023, armed clashes took place between Hamas militants and Israeli military forces in Holit (Beer Sheva, HaDarom). The two sides exchanged gunfire. Unspecified number of militant fatalities coded as 3.",3,,1762206133
ISR37316,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,"Nahal Oz",31.4731,34.4983,2,"Israeli Defense Forces",Other,"On 8 October 2023, an Israel Defense Forces UAV killed six Hamas militants near Nahal Oz (Ashqelon, HaDarom).",6,,1762291738
ISR16338,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Israel (2022-)",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,"Beer Sheva",Besor,Yated,31.2065,34.3276,1,"Kan News",National,"On 8 October 2023, Israeli military forces killed several Hamas militants during armed clashes after they infiltrated the town of Yated (Beer Sheva, HaDarom). Unspecified number of fatalities coded as 3.",3,,1762291738
ISR16283,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Israel (2022-)",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,Ziqim,31.6091,34.5214,1,"Haaretz; Jerusalem Post; Kan News",National,"On 8 October 2023, Israeli forces shot and killed 7 Hamas militants that entered Israeli borders by sea from the Ziqim beach (Ashqelon, HaDarom).",7,,1762291738
ISR16337,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Israel (2022-)",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,Ziqim,31.6091,34.5214,2,"Kan News; N12",National,"On 8 October 2023, Israeli military forces killed at least five Hamas militants off the coast of Ziqim (Ashqelon, HaDarom), as the militants attempted to infiltrate the country.",5,,1762291738
ISR37312,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Hamas Movement",,3,"Military Forces of Israel (2022-)",,1,13,,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,Mefalsim,31.5013,34.5637,1,"Government of Israel; Haaretz; N12",National,"On 8 October 2023, armed clashes took place between Israeli military forces and Hamas militants near Mefalsim (Ashqelon, HaDarom) after the militants infiltrated the town. Unspecified number of fatalities coded as 3. Also, an Israeli soldier was killed. Total fatalities coded as 4 (1 IDF confirmed, 3 militants unspecified).",4,,1762206133
SYR119239,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,8,,,0,80,,760,"Middle East",Syria,Aleppo,"Ain al Arab","Ain al Arab",Quran,36.7786,38.6191,1,Liveuamap,"Local partner-New media","On 8 October 2023, Turkish fighters shelled Quran village in rural Ain al Arab in the northern Aleppo countryside. Casualties unknown.",0,"Foreign military engagement",1759187037
SYR119327,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Operation Peace Spring","Military Forces of Turkey (2016-); Opposition Rebels (Syria)",2,,,0,20,,760,"Middle East",Syria,"Al Hasakeh","Al Hasakeh","Tal Tamer","Tal Tamer",36.6534,40.3718,1,"Liveuamap; SOHR","Local partner-New media","On 8 October 2023, Turkish fighters and pro-Turkey opposition rebels operating under OPS shelled Tal Tamer and several locations in rural Tal Tamer with heavy artillery in response to QSD's shelling of a Turkish base in Qasemiyeh. Casualties unknown.",0,Insurgency,1759187037
SYR119273,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Turkey (2016-)",,8,,,0,80,,760,"Middle East",Syria,"Al Hasakeh","Ras Al Ain",Darbasiyah,Darbasiyah,37.0700,40.6540,1,Liveuamap,"Local partner-New media","On 8 October 2023, Turkish warplanes conducted airstrikes targeting Awda/Odeh oil fields in Darbasiyah in Al Hasakeh's countryside. Casualties unknown.",0,"Foreign military engagement",1759187037
SYR119012,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","JWS: Syrian National Army","Military Forces of Turkey (2016-)",2,"YPG: Peoples Protection Units",,2,22,,760,"Middle East",Syria,Aleppo,Azaz,Aghtrin,Abla,36.4331,37.3551,2,Liveuamap,"Local partner-New media","On 8 October 2023, Turkish fighters shelled YPG positions in the area between Abla and Hazwan in rural northern Aleppo in conjunction with armed clashes taking place between JWS and YPG fighters in the area between Abla and Hazwan. Casualties unknown.",0,Insurgency,1759187037
SYR119221,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,8,,,0,80,,760,"Middle East",Syria,Aleppo,Azaz,Nabul,Kilote,36.3525,36.9364,1,SOHR,Other,"On 8 October 2023, Turkish fighters shelled Kilote in rural northern Aleppo with heavy artillery. Casualties unknown.",0,"Foreign military engagement",1759187037
SYR119421,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","QSD: Syrian Democratic Forces",,2,"Military Forces of Turkey (2016-)",,8,28,,760,"Middle East",Syria,"Al Hasakeh","Al Hasakeh","Tal Tamer",Qasemiyeh,36.7059,40.3406,1,SOHR,Other,"On 8 October 2023, QSD fighters targeted a Turkish base in Qasemiyeh in rural Al Hasakeh with heavy weapons, killing and injuring several fighters. Unspecified number of fatalities coded as 10.",10,"Foreign military engagement; Insurgency",1759187037
ISR37317,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,"Beer Sheva",Besor,Beeri,31.4243,34.4916,1,"Israeli Defense Forces",Other,"On 8 October 2023, Israeli military aircrafts killed two groups of Hamas militants who attempted to infiltrate Beeri (Beer Sheva, HaDarom). Unspecified number of fatalities coded as 3.",3,,1762291738
ISR37318,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Hamas Movement",,3,"Military Forces of Israel (2022-)",,1,13,,376,"Middle East",Israel,HaDarom,"Beer Sheva",Besor,Beeri,31.4243,34.4916,1,"Government of Israel; Haaretz; Times of Israel",National,"On 8 October 2023, armed clashes took place between Israeli military forces and Hamas militants in Beeri (Beer Sheva, HaDarom), as Israeli forces successfully managed to free at least 50 civilians who were being held hostage. Israeli forces killed the Hamas militants who held the civilians captive. Unspecified number of fatalities coded as 3. Also, 7 soldiers were killed. Total fatalities coded as 10 (3 Hamas, 7 IDF).",10,,1762291738
ISR16422,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Hamas Movement",,3,"Military Forces of Israel (2022-)",,1,13,,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,"Nahal Oz",31.4731,34.4983,2,N12,National,"On 8 October 2023, Hamas militants fired several barrages of rockets from Gaza toward southern Israel, causing sirens to sound in Nahal Oz (Ashqelon, HaDarom) and surrounding locations. Not all rockets hit populated areas, as some rockets were presumably intercepted by the iron dome over the area of Nahal Oz or fell in open areas.",0,,1762291738
ISR37308,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Hamas Movement",,3,"Civilians (Israel)","Military Forces of Israel (2022-)",7,37,"Civilian targeting",376,"Middle East",Israel,HaDarom,"Beer Sheva",Gerar,Netivot,31.4231,34.5891,1,N12,National,"On 8 October 2023, Hamas militants fired barrages of rockets from Gaza at Netivot (Beer Sheva, HaDarom). At least one direct hit was reported in the city. Also, Israeli iron dome missile defense system intercepted several missiles launched by Hamas from Gaza in Netivot (Beer Sheva, HaDarom).",0,,1722898728
ISR16329,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Hamas Movement",,3,"Military Forces of Israel (2022-)",,1,13,,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,Ashqelon,31.6693,34.5715,2,"Kan News",National,"On 8 October 2023, Hamas militants fired at least 100 rockets from Gaza in the direction of Ashqelon (HaDarom) and its surrounding areas throughout the day. Not all of the rockets hit populated areas, as many were presumably intercepted by the iron dome over the area of Ashqelon.",0,,1722903298
LBN28822,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Israel (2022-)",,8,,,0,80,,422,"Middle East",Lebanon,"Al Nabatieh",Hasbeiya,,"Es Sedaneh",33.3393,35.7122,2,"AlManar TV; National News Agency Lebanon; Twitter","New media-National","On 8 October 2023, at around 11:09, Israeli military forces targeted the Es Sedaneh area (Hasbeiya, Al Nabatieh) with artillery fire in retaliation against the launching of 2 rockets from Lebanon. Casualties unknown.",0,"Foreign military engagement",1786406881
SYR134120,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Israel (2022-)",,8,Hezbollah,,3,38,,760,"Middle East",Syria,Quneitra,Quneitra,Masaada,"Shebaa Farms",33.2833,35.7000,1,"El Nashra",Regional,"On 8 October 2023, Israeli military forces fired artillery shells towards a Hezbollah tent at the Shebaa Farms (Masaada), resulting in its destruction. Later in the day, Israeli military forces fired 3 artillery shells towards another Hezbollah tent that was errected, to scare away Hezbollah fighters. There were no casualties.",0,"Foreign military engagement",1753956190
