event_date,actor_origin,scope,events
2023-10-08,Israel,CNN,9
2023-10-08,Israel,Ampliat,10
2023-10-08,Hezbollah,CNN,0
2023-10-08,Hezbollah,Ampliat,3
2023-10-09,Israel,CNN,12
2023-10-09,Israel,Ampliat,12
2023-10-09,Hezbollah,CNN,3
2023-10-09,Hezbollah,Ampliat,3
2023-10-10,Israel,CNN,20
2023-10-10,Israel,Ampliat,23
2023-10-10,Hezbollah,CNN,1
2023-10-10,Hezbollah,Ampliat,1
2023-10-11,Israel,CNN,8
2023-10-11,Israel,Ampliat,8
2023-10-11,Hezbollah,CNN,1
2023-10-11,Hezbollah,Ampliat,1
2023-10-12,Israel,CNN,1
2023-10-12,Israel,Ampliat,3
2023-10-12,Hezbollah,CNN,0
2023-10-12,Hezbollah,Ampliat,0
2023-10-13,Israel,CNN,8
2023-10-13,Israel,Ampliat,8
2023-10-13,Hezbollah,CNN,4
2023-10-13,Hezbollah,Ampliat,4
2023-10-14,Israel,CNN,11
2023-10-14,Israel,Ampliat,15
2023-10-14,Hezbollah,CNN,0
2023-10-14,Hezbollah,Ampliat,6
2023-10-15,Israel,CNN,15
2023-10-15,Israel,Ampliat,15
2023-10-15,Hezbollah,CNN,11
2023-10-15,Hezbollah,Ampliat,12
2023-10-16,Israel,CNN,9
2023-10-16,Israel,Ampliat,10
2023-10-16,Hezbollah,CNN,6
2023-10-16,Hezbollah,Ampliat,6
2023-10-17,Israel,CNN,23
2023-10-17,Israel,Ampliat,23
2023-10-17,Hezbollah,CNN,10
2023-10-17,Hezbollah,Ampliat,10
2023-10-18,Israel,CNN,20
2023-10-18,Israel,Ampliat,22
2023-10-18,Hezbollah,CNN,10
2023-10-18,Hezbollah,Ampliat,10
2023-10-19,Israel,CNN,15
2023-10-19,Israel,Ampliat,15
2023-10-19,Hezbollah,CNN,7
2023-10-19,Hezbollah,Ampliat,7
2023-10-20,Israel,CNN,23
2023-10-20,Israel,Ampliat,23
2023-10-20,Hezbollah,CNN,10
2023-10-20,Hezbollah,Ampliat,15
2023-10-21,Israel,CNN,25
2023-10-21,Israel,Ampliat,26
2023-10-21,Hezbollah,CNN,5
2023-10-21,Hezbollah,Ampliat,6
2023-10-22,Israel,CNN,23
2023-10-22,Israel,Ampliat,26
2023-10-22,Hezbollah,CNN,5
2023-10-22,Hezbollah,Ampliat,6
2023-10-23,Israel,CNN,15
2023-10-23,Israel,Ampliat,15
2023-10-23,Hezbollah,CNN,1
2023-10-23,Hezbollah,Ampliat,1
2023-10-24,Israel,CNN,17
2023-10-24,Israel,Ampliat,18
2023-10-24,Hezbollah,CNN,4
2023-10-24,Hezbollah,Ampliat,4
2023-10-25,Israel,CNN,17
2023-10-25,Israel,Ampliat,21
2023-10-25,Hezbollah,CNN,4
2023-10-25,Hezbollah,Ampliat,4
2023-10-26,Israel,CNN,6
2023-10-26,Israel,Ampliat,6
2023-10-26,Hezbollah,CNN,0
2023-10-26,Hezbollah,Ampliat,0
2023-10-27,Israel,CNN,15
2023-10-27,Israel,Ampliat,15
2023-10-27,Hezbollah,CNN,2
2023-10-27,Hezbollah,Ampliat,5
2023-10-28,Israel,CNN,21
2023-10-28,Israel,Ampliat,21
2023-10-28,Hezbollah,CNN,9
2023-10-28,Hezbollah,Ampliat,9
2023-10-29,Israel,CNN,37
2023-10-29,Israel,Ampliat,40
2023-10-29,Hezbollah,CNN,9
2023-10-29,Hezbollah,Ampliat,10
2023-10-30,Israel,CNN,27
2023-10-30,Israel,Ampliat,28
2023-10-30,Hezbollah,CNN,7
2023-10-30,Hezbollah,Ampliat,7
2023-10-31,Israel,CNN,15
2023-10-31,Israel,Ampliat,15
2023-10-31,Hezbollah,CNN,5
2023-10-31,Hezbollah,Ampliat,5
2023-11-01,Israel,CNN,10
2023-11-01,Israel,Ampliat,10
2023-11-01,Hezbollah,CNN,5
2023-11-01,Hezbollah,Ampliat,5
2023-11-02,Israel,CNN,35
2023-11-02,Israel,Ampliat,35
2023-11-02,Hezbollah,CNN,12
2023-11-02,Hezbollah,Ampliat,13
2023-11-03,Israel,CNN,14
2023-11-03,Israel,Ampliat,14
2023-11-03,Hezbollah,CNN,1
2023-11-03,Hezbollah,Ampliat,1
2023-11-04,Israel,CNN,36
2023-11-04,Israel,Ampliat,36
2023-11-04,Hezbollah,CNN,8
2023-11-04,Hezbollah,Ampliat,8
2023-11-05,Israel,CNN,13
2023-11-05,Israel,Ampliat,13
2023-11-05,Hezbollah,CNN,7
2023-11-05,Hezbollah,Ampliat,7
2023-11-06,Israel,CNN,16
2023-11-06,Israel,Ampliat,16
2023-11-06,Hezbollah,CNN,3
2023-11-06,Hezbollah,Ampliat,3
2023-11-07,Israel,CNN,16
2023-11-07,Israel,Ampliat,16
2023-11-07,Hezbollah,CNN,2
2023-11-07,Hezbollah,Ampliat,2
2023-11-08,Israel,CNN,23
2023-11-08,Israel,Ampliat,27
2023-11-08,Hezbollah,CNN,2
2023-11-08,Hezbollah,Ampliat,2
2023-11-09,Israel,CNN,36
2023-11-09,Israel,Ampliat,36
2023-11-09,Hezbollah,CNN,3
2023-11-09,Hezbollah,Ampliat,3
2023-11-10,Israel,CNN,24
2023-11-10,Israel,Ampliat,25
2023-11-10,Hezbollah,CNN,6
2023-11-10,Hezbollah,Ampliat,6
2023-11-11,Israel,CNN,30
2023-11-11,Israel,Ampliat,32
2023-11-11,Hezbollah,CNN,9
2023-11-11,Hezbollah,Ampliat,11
2023-11-12,Israel,CNN,27
2023-11-12,Israel,Ampliat,28
2023-11-12,Hezbollah,CNN,5
2023-11-12,Hezbollah,Ampliat,5
2023-11-13,Israel,CNN,35
2023-11-13,Israel,Ampliat,35
2023-11-13,Hezbollah,CNN,5
2023-11-13,Hezbollah,Ampliat,6
2023-11-14,Israel,CNN,24
2023-11-14,Israel,Ampliat,24
2023-11-14,Hezbollah,CNN,4
2023-11-14,Hezbollah,Ampliat,5
2023-11-15,Israel,CNN,27
2023-11-15,Israel,Ampliat,27
2023-11-15,Hezbollah,CNN,8
2023-11-15,Hezbollah,Ampliat,9
2023-11-16,Israel,CNN,21
2023-11-16,Israel,Ampliat,21
2023-11-16,Hezbollah,CNN,9
2023-11-16,Hezbollah,Ampliat,9
2023-11-17,Israel,CNN,30
2023-11-17,Israel,Ampliat,33
2023-11-17,Hezbollah,CNN,12
2023-11-17,Hezbollah,Ampliat,13
2023-11-18,Israel,CNN,34
2023-11-18,Israel,Ampliat,34
2023-11-18,Hezbollah,CNN,7
2023-11-18,Hezbollah,Ampliat,7
2023-11-19,Israel,CNN,32
2023-11-19,Israel,Ampliat,32
2023-11-19,Hezbollah,CNN,16
2023-11-19,Hezbollah,Ampliat,16
2023-11-20,Israel,CNN,29
2023-11-20,Israel,Ampliat,29
2023-11-20,Hezbollah,CNN,7
2023-11-20,Hezbollah,Ampliat,8
2023-11-21,Israel,CNN,31
2023-11-21,Israel,Ampliat,31
